"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.640539417E0,-1.372645569E-1,1.690015594E1,8.698411560E-1
2.650537417E0,-5.300477600E-1,1.657548111E1,-1.714684296E0
2.660536417E0,-8.084687805E-1,1.516556305E1,-8.421337738E0
2.670534417E0,-7.078779602E-1,1.116079102E1,-9.179511108E0
2.680532417E0,1.406624908E0,9.193282471E0,-5.307512970E0
2.690531417E0,3.417842560E0,8.681646423E0,-1.186432800E0
2.700529417E0,4.865033112E0,8.587941284E0,3.644620972E0
2.710528417E0,5.244793396E0,7.319628754E0,3.443738708E0
2.720526417E0,3.753444672E0,5.684878235E0,-1.411564636E0
2.730524417E0,1.645977173E0,5.583389282E0,-5.571264496E0
2.740523417E0,3.697311401E-2,6.447841644E0,-6.563251648E0
2.750521417E0,3.731739807E-1,6.706204376E0,-5.099894714E0
2.760520417E0,5.140310669E-1,6.902446289E0,-4.051175537E0
2.770518417E0,1.428030396E-1,7.523205414E0,-3.886667633E0
2.780516417E0,-8.273295593E-1,1.071067703E1,-3.843856659E0
2.790515417E0,-2.735561371E0,1.657892395E1,-2.937940521E0
2.800513417E0,-3.878434753E0,2.025423111E1,-6.415658569E-1
2.810512417E0,-3.880081329E0,1.725117599E1,1.613644409E-1
2.820510417E0,-5.475314026E0,1.291574158E1,1.528022461E0
2.830508417E0,-6.517895966E0,1.089958420E1,3.761527863E0
2.840507417E0,-5.057233429E0,9.563911743E0,4.700375519E0
2.850505417E0,-3.314407654E0,8.657396851E0,4.535717926E0
2.860504417E0,-1.522783356E0,7.602690125E0,3.137924652E0
2.870502417E0,-3.547622681E-2,6.569089508E0,1.151106262E0
2.880500417E0,8.824150085E-1,6.130950623E0,-5.102888489E-1
2.890499417E0,1.011296997E0,5.780679016E0,-1.844015350E0
2.900497417E0,1.324296112E0,5.901777191E0,-2.199226685E0
2.910496417E0,1.328637085E0,7.108268280E0,-1.199904785E0
2.920494417E0,6.524931335E-1,8.464597778E0,-2.912942505E-1
2.930492417E0,-2.252815247E-1,9.487869873E0,-6.780899048E-2
2.940491417E0,-9.554631042E-1,1.009081604E1,-2.836601257E-1
2.950489417E0,-1.422042847E0,1.046818130E1,6.421646118E-2
2.960488417E0,-1.502425690E0,1.034962784E1,1.053958282E0
2.970486417E0,-1.191522217E0,9.364975433E0,1.666185150E0
2.980484417E0,-6.277944946E-1,8.354576569E0,1.893861694E0
2.990483417E0,-4.281097412E-2,7.606132965E0,1.684147797E0
3.000481417E0,4.116439819E-1,7.211104431E0,1.230291595E0
3.010480417E0,9.183403015E-1,6.844666443E0,7.429051208E-1
3.020478417E0,1.286275177E0,6.829547882E0,-4.593946838E-1
3.030476417E0,1.671124878E0,7.299271088E0,-9.490264893E-1
3.040475417E0,1.947150879E0,7.940986633E0,-2.634521484E-1
3.050473417E0,2.165995789E0,8.868607635E0,8.762777710E-1
3.060472417E0,1.904339905E0,9.929451599E0,1.993704071E0
3.070470417E0,7.875123596E-1,1.066487228E1,2.555485840E0
3.080468417E0,-5.493576050E-1,1.109073669E1,2.458188171E0
3.090467417E0,-1.741777954E0,1.114043335E1,2.294877777E0
3.100465417E0,-2.509681091E0,1.060604462E1,1.912423096E0
3.110464417E0,-2.975811768E0,1.010069550E1,1.453477478E0
3.120462417E0,-3.351979523E0,1.025427612E1,8.370593262E-1
3.130460417E0,-3.805985413E0,1.087488556E1,1.098715210E-1
3.140459417E0,-4.431085510E0,1.153336624E1,-4.393363953E-1
3.150457417E0,-4.865482178E0,1.186402863E1,-5.348377991E-1
3.160456417E0,-4.925058289E0,1.177930481E1,2.174977112E-1
3.170454417E0,-4.316723328E0,1.080468155E1,1.197060699E0
3.180452417E0,-3.475472717E0,9.981543274E0,2.304457855E0
3.190451417E0,-2.605332184E0,9.758207703E0,3.939657440E0
3.200449417E0,-1.571282501E0,1.041788589E1,5.170697479E0
3.210448417E0,-4.863386536E-1,1.207748474E1,5.337001648E0
3.220446417E0,5.523513794E-2,1.429332687E1,4.298461304E0
3.230444417E0,-3.055146790E-1,1.704161179E1,2.589165802E0
3.240443417E0,-1.129401398E0,1.954291031E1,8.041278076E-1
3.250441417E0,-2.811453552E0,1.908725784E1,-1.081800385E0
3.260440417E0,-4.168082428E0,1.574949875E1,-2.065404968E0
3.270438417E0,-3.213966522E0,1.202808746E1,-2.365381165E0
3.280436417E0,-4.326004028E-1,9.637259216E0,-1.739682312E0
3.290435417E0,1.752256165E0,1.026340714E1,-5.836363220E-1
3.300433375E0,2.397264862E0,1.282248550E1,-3.055146790E-1
3.310432375E0,2.273771667E0,1.390368713E1,-2.956352234E-1
3.320430375E0,2.628683624E0,1.449600540E1,3.038681030E-2
3.330428375E0,3.107238464E0,1.464853821E1,2.137554932E-1
3.340427375E0,3.095862122E0,1.458536957E1,4.218228149E-1
3.350425375E0,2.954555969E0,1.512873962E1,6.692582703E-1
3.360424375E0,2.928510132E0,1.598361191E1,1.036594391E0
3.370422375E0,2.884052582E0,1.674268341E1,1.537452850E0
3.380420375E0,2.414479065E0,1.670121964E1,2.376607819E0
3.390419375E0,1.707648926E0,1.567944443E1,2.717149658E0
3.400417375E0,1.084644470E0,1.342528198E1,2.462828522E0
3.410416375E0,5.295986938E-1,1.046354095E1,1.663640442E0
3.420414375E0,-4.908293152E-1,8.169112244E0,2.957849121E-1
3.430412375E0,-4.204756165E-1,7.306905212E0,-1.287622375E0
3.440411375E0,3.391946411E-1,6.513704681E0,-2.320324860E0
3.450409375E0,-2.139051819E-1,6.085744629E0,-4.101920013E0
3.460408375E0,-1.411714325E0,5.631738739E0,-5.204676819E0
3.470406375E0,-2.327360229E0,6.034850464E0,-4.296665039E0
3.480404375E0,-3.597918091E0,7.881859589E0,-1.113085327E0
3.490403375E0,-3.128045197E0,9.506131897E0,9.629475403E-1
3.500401375E0,-1.818867645E0,8.926088104E0,6.698570251E-1
3.510400375E0,-1.163829803E0,7.656877441E0,-1.135089569E0
3.520398375E0,-6.915618896E-2,6.642436981E0,-1.974094849E0
3.530396375E0,1.169967041E0,6.042933655E0,-3.133883057E0
3.540395375E0,1.911524963E0,5.494923248E0,-2.161355438E0
3.550393375E0,2.014061737E0,5.110672302E0,-1.318009186E0
3.560392375E0,2.469564514E0,4.651876373E0,-1.758543091E0
3.570390375E0,2.952310638E0,3.567680969E0,-2.138303375E0
3.580388375E0,2.244881744E0,2.090552673E0,-2.034419403E0
