"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.344174375E0,-3.033319473E0,-3.934068382E-1,-9.857098460E-1
3.354172375E0,-2.857965708E0,-5.062905550E-1,-9.371321797E-1
3.364171375E0,-2.654254913E0,-6.631246209E-1,-8.075129986E-1
3.374169375E0,-2.501426697E0,-9.394193292E-1,-6.412183046E-1
3.384167375E0,-2.428324938E0,-1.278069496E0,-4.384136200E-1
3.394166375E0,-2.441677332E0,-1.528435469E0,-2.006945312E-1
3.404164375E0,-2.485267162E0,-1.735556960E0,1.936312579E-2
3.414163375E0,-2.516254425E0,-1.725652099E0,7.012750208E-2
3.424161375E0,-2.506690979E0,-1.412943125E0,1.015857831E-1
3.434159375E0,-2.378356457E0,-1.224691272E0,2.062136680E-1
3.444158375E0,-1.645099640E0,-2.273069859E0,8.816669136E-2
3.454156375E0,-9.888109565E-1,-3.376313925E0,-2.106690109E-1
3.464155375E0,-9.186388254E-1,-3.706223965E0,-5.072079897E-1
3.474153375E0,-1.449614048E0,-3.559402704E0,-7.773175240E-1
3.484151375E0,-2.129131079E0,-3.355907679E0,-8.453940749E-1
3.494150375E0,-2.408639431E0,-3.381988525E0,-8.227798343E-1
3.504148375E0,-2.131491661E0,-3.476161957E0,-9.739531875E-1
3.514147375E0,-1.655240774E0,-3.508343935E0,-1.139443874E0
3.524145375E0,-1.156593204E0,-3.114216566E0,-1.157710671E0
3.534143375E0,-8.976678848E-1,-2.748355865E0,-1.032208443E0
3.544142375E0,-6.805992126E-1,-2.501018286E0,-9.076812267E-1
3.554140375E0,-3.203659356E-1,-2.219680071E0,-7.983656526E-1
3.564139375E0,7.271570712E-2,-1.762342095E0,-7.315436006E-1
3.574137375E0,4.347335696E-1,-1.194284320E0,-7.368521094E-1
3.584135375E0,7.743234634E-1,-5.885031223E-1,-6.897971034E-1
3.594134375E0,1.047840476E0,4.352308810E-2,-6.068843603E-1
3.604132375E0,1.296191931E0,4.545339048E-1,-5.679429770E-1
3.614131375E0,1.553717732E0,7.179154754E-1,-5.660846233E-1
3.624129375E0,1.834378123E0,9.290350676E-1,-5.834076405E-1
3.634127375E0,2.115143061E0,1.044831991E0,-6.880038381E-1
3.644126375E0,2.310104609E0,1.188763857E0,-7.870579958E-1
3.654124375E0,2.360357285E0,1.372995973E0,-7.852462530E-1
3.664123375E0,2.243134499E0,1.277498841E0,-6.701261401E-1
3.674121375E0,1.935555696E0,1.052200794E0,-2.829136848E-1
3.684119375E0,1.456479311E0,7.385817766E-1,1.927303821E-1
3.694118375E0,9.559959769E-1,6.793757081E-1,3.995570540E-1
3.704116375E0,4.091449976E-1,4.659350514E-1,2.637602389E-1
3.714115375E0,-2.553251386E-1,-1.947193146E-1,-4.223483056E-2
3.724113375E0,-6.321782470E-1,-7.179089189E-1,-1.267978251E-1
3.734111375E0,-6.195868254E-1,-8.225783110E-1,-1.099804938E-1
3.744110375E0,-4.455996156E-1,-5.290483832E-1,-1.330586150E-2
3.754108375E0,-2.832061648E-1,-1.625348926E-1,1.396725029E-1
3.764107375E0,-1.644711643E-1,2.359265462E-2,3.840256631E-1
3.774105375E0,-1.896228492E-1,-3.158531385E-3,6.624594331E-1
3.784104375E0,-2.511714101E-1,-2.782485485E-1,1.110588670E0
3.794102375E0,-3.923830986E-1,-4.512483180E-1,1.535052657E0
3.804100375E0,-6.271451116E-1,-6.169028953E-2,1.540215969E0
3.814099375E0,-6.271621585E-1,9.258788228E-1,1.179777384E0
3.824097375E0,-3.327632546E-1,2.038925171E0,6.425395608E-1
3.834096375E0,1.411995143E-1,2.928993940E0,3.310727477E-1
