"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.018248125E0,8.650511169E-1,-7.809260559E-1,9.777068481E0,9.846279857E0
3.028246125E0,8.640032959E-1,-7.837701416E-1,9.754016418E0,9.823524501E0
3.038244125E0,8.771759033E-1,-7.879614258E-1,9.756261749E0,9.827256183E0
3.048242125E0,8.851094055E-1,-7.779322815E-1,9.759105835E0,9.829992065E0
3.058240125E0,8.851094055E-1,-7.843688965E-1,9.750423889E0,9.821884709E0
3.068238125E0,9.045689392E-1,-7.738906860E-1,9.757159882E0,9.829512740E0
3.078236125E0,8.978329468E-1,-7.590715027E-1,9.751322021E0,9.821943530E0
3.088235125E0,9.024732971E-1,-7.714956665E-1,9.745633850E0,9.817690296E0
3.098233125E0,9.038204956E-1,-7.774832153E-1,9.758507080E0,9.831064646E0
3.108231125E0,9.150471497E-1,-7.863148499E-1,9.760902100E0,9.835182364E0
3.118229125E0,9.030720520E-1,-8.003855896E-1,9.743538208E0,9.817978052E0
3.128227125E0,9.042695618E-1,-7.981402588E-1,9.738748169E0,9.813151747E0
3.138225125E0,8.949888611E-1,-7.967930603E-1,9.745933228E0,9.819322722E0
