"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.001603875E0,-1.897903290E0,9.267677765E0,2.673440552E0,9.830522490E0
3.011601875E0,-1.902843018E0,9.286837921E0,2.664309540E0,9.847066337E0
3.021599875E0,-1.917662201E0,9.299411774E0,2.661166077E0,9.860947852E0
3.031598875E0,-1.918410645E0,9.298962708E0,2.647095337E0,9.856881888E0
3.041596875E0,-1.911524963E0,9.288783875E0,2.662363586E0,9.850056519E0
3.051594875E0,-1.906734924E0,9.288634186E0,2.694546661E0,9.857735278E0
3.061592875E0,-1.957629089E0,9.284293213E0,2.689906311E0,9.862353070E0
3.071590875E0,-2.017354889E0,9.255552979E0,2.604284363E0,9.824320777E0
3.081589250E0,-2.056723022E0,9.243577881E0,2.513423309E0,9.797506742E0
3.091587250E0,-2.028431854E0,9.244625702E0,2.485880585E0,9.785562960E0
3.101585250E0,-1.981130219E0,9.277856598E0,2.476001129E0,9.804798906E0
3.111583250E0,-1.928739166E0,9.319320374E0,2.482138367E0,9.835180622E0
3.121582250E0,-1.905687103E0,9.331894226E0,2.489622803E0,9.844496680E0
3.131580250E0,-1.903741150E0,9.306896210E0,2.456840973E0,9.812166682E0
3.141578250E0,-1.882335663E0,9.278754730E0,2.437231750E0,9.776429588E0
3.151576250E0,-1.845811615E0,9.269923096E0,2.501298523E0,9.777268996E0
3.161574250E0,-1.821562042E0,9.268875275E0,2.559078369E0,9.786675596E0
3.171573250E0,-1.828747101E0,9.276808777E0,2.570155334E0,9.798428215E0
3.181571250E0,-1.863325195E0,9.298363953E0,2.574945374E0,9.826591304E0
3.191569250E0,-1.904190216E0,9.301208038E0,2.582878876E0,9.839190751E0
3.201567250E0,-1.950294342E0,9.297166443E0,2.581082611E0,9.843929060E0
3.211565250E0,-1.984722748E0,9.302255859E0,2.567011871E0,9.851935770E0
3.221564250E0,-1.998494110E0,9.314530334E0,2.550246735E0,9.861957841E0
3.231562250E0,-2.020797729E0,9.299561462E0,2.514920197E0,9.843286568E0
3.241560250E0,-2.024839325E0,9.286239166E0,2.514321442E0,9.831379581E0
3.251558250E0,-1.997146912E0,9.264085236E0,2.514471130E0,9.804816985E0
3.261556250E0,-1.969005432E0,9.227112122E0,2.507735138E0,9.762444162E0
3.271555250E0,-1.948049011E0,9.214538269E0,2.515219574E0,9.748278821E0
3.281553250E0,-1.958676910E0,9.178912354E0,2.572700043E0,9.731784664E0
